SpotID,SpotArea,MeanIntensity,TotalIntensity
1,2,7003,14006
2,9,6558.22222222222,59024
3,27,10118.3333333333,273195
4,35,12904.0857142857,451643
5,8,5840.375,46723
6,16,6172,98752
7,10,5910.9,59109
8,8,7492.125,59937
9,20,9338.9,186778
10,23,10947.4347826087,251791
11,17,9425.70588235294,160237
12,16,7814.875,125038
13,10,5961.5,59615
14,16,10692.875,171086
15,17,13760.7647058824,233933
16,22,14224.4545454545,312938
17,7,8379.28571428571,58655
18,22,8088.77272727273,177953
19,7,6281.28571428571,43969
20,19,7894.1052631579,149988
21,27,10442.962962963,281960
22,10,12680.5,126805
23,13,10937.3076923077,142185
24,19,11659,221521
25,8,10346.75,82774
26,5,10503.8,52519
27,20,20414.15,408283
28,26,12571.8076923077,326867
29,2,6803,13606
30,21,10547.1428571429,221490
31,5,7933.6,39668
32,19,11164.5789473684,212127
33,42,11745.380952381,493306
34,17,12722.1764705882,216277
35,20,14627.3,292546
36,7,7076.14285714286,49533
37,20,9632.15,192643
38,23,19348.6956521739,445020
39,7,10564.5714285714,73952
40,19,12856.7894736842,244279
41,17,10118.2352941176,172010
42,17,4975.47058823529,84583
43,17,16311.2941176471,277292
44,15,8728,130920
45,10,14103.1,141031
46,16,8110.9375,129775
47,5,7814.4,39072
48,12,8641.25,103695
49,8,9570.375,76563
50,12,7830.33333333333,93964
51,7,10255.1428571429,71786
52,10,9818.4,98184
53,12,12242.75,146913
54,31,10228.5806451613,317086
55,20,22286.45,445729
56,6,10683.5,64101
57,5,8174.8,40874
58,8,11967.875,95743
59,15,10456.0666666667,156841
60,25,8952.64,223816
61,13,11079.6923076923,144036
62,20,10809.6,216192
63,5,9869,49345
64,7,7526.28571428571,52684
65,9,5767.55555555556,51908
66,24,10115.5833333333,242774
67,17,8278.05882352941,140727
68,10,10872.4,108724
69,5,10010,50050
70,16,20918.8125,334701
71,18,10990.3888888889,197827
72,22,15679.4090909091,344947
73,9,11067.5555555556,99608
74,14,9970.5,139587
75,5,7314.2,36571
76,13,7321.84615384615,95184
